"","COMID","V2COMID","nlaSITE_ID"
"459",1023062,NA,"NLA06608-0918"
"460",1021510,NA,"NLA06608-ELS:1C3-003"
"461",1031477,NA,"NLA06608-1174"
"462",6709871,NA,"NLA06608-0102"
"463",19334091,NA,"NLA06608-0358"
"464",2675686,NA,"NLA06608-ALPS-1218"
"465",2678904,NA,"NLA06608-1558"
"466",2675794,NA,"NLA06608-0914"
"467",5195160,NA,"NLA06608-EMAP:ME518L"
"468",2684588,NA,"NLA06608-NELP-1041"
"469",5197524,NA,"NLA06608-ELS:1E1-096"
"470",166174110,NA,"NLA06608-EMAP:ME263L"
"471",2678926,NA,"NLA06608-ELS:1E1-128"
"472",2682384,NA,"NLA06608-ACAD_LAKES_0435"
"473",6718889,NA,"NLA06608-1238"
"474",9315171,NA,"NLA06608-NH250L"
"475",9315177,NA,"NLA06608-0726"
"476",6738190,NA,"NLA06608-0470"
"477",6739176,NA,"NLA06608-ELS:1C2-032"
"478",6762452,NA,"NLA06608-0738"
"479",6762488,NA,"NLA06608-0994"
"480",6771725,NA,"NLA06608-0546"
"481",6739340,NA,"NLA06608-0226"
"482",6762618,NA,"NLA06608-NH4912"
"483",6075129,NA,"NLA06608-0354"
"484",6760504,NA,"NLA06608-0050"
"485",166174480,NA,"NLA06608-0418"
"486",6743322,NA,"NLA06608-0610"
"487",166181880,NA,"NLA06608-0930"
"488",9342451,NA,"NLA06608-0802"
"489",10294252,NA,"NLA06608-0674"
"490",7689037,NA,"NLA06608-ELS:1D2-087"
"491",7699312,NA,"NLA06608-0582"
"492",6110045,NA,"NLA06608-0134"
"493",4592057,NA,"NLA06608-0662"
"494",4592671,NA,"NLA06608-9999"
"495",4593491,NA,"NLA06608-0982"
"496",9342959,NA,"NLA06608-0162"
"497",6098005,NA,"NLA06608-0357"
"498",9326262,NA,"NLA06608-0550"
"499",6114700,NA,"NLA06608-1122"
"500",6139878,NA,"NLA06608-2162"
"501",5877489,NA,"NLA06608-ELS:1D1-035"
"502",5878337,NA,"NLA06608-1222"
"503",5877795,NA,"NLA06608-0710"
"504",5878063,NA,"NLA06608-0198"
"505",6127083,NA,"NLA06608-1906"
"506",6127505,NA,"NLA06608-2354"
"507",6127507,NA,"NLA06608-0562"
"508",6117790,NA,"NLA06608-3698"
"509",6117396,NA,"NLA06608-0690"
"510",6126713,NA,"NLA06608-0454"
"511",6140628,NA,"NLA06608-2566"
"512",6127761,NA,"NLA06608-2418"
"513",6140598,NA,"NLA06608-3846"
"514",166196348,NA,"NLA06608-0754"
"515",6127515,NA,"NLA06608-1586"
"516",6161205,NA,"NLA06608-0946"
"517",6147915,NA,"NLA06608-0498"
"518",6147953,NA,"NLA06608-4413"
"519",6148217,NA,"NLA06608-0242"
"520",6148219,NA,"NLA06608-3890"
"521",6160981,NA,"NLA06608-1414"
"522",6169458,NA,"NLA06608-0326"
"523",7711450,NA,"NLA06608-0037"
"524",7709574,NA,"NLA06608-0101"
"525",7711148,NA,"NLA06608-0805"
"526",7711100,NA,"NLA06608-1125"
"527",120052268,NA,"NLA06608-1010"
"528",7711476,NA,"NLA06608-0006"
"529",7715298,NA,"NLA06608-0293"
"530",4599159,NA,"NLA06608-0038"
"531",4599205,NA,"NLA06608-2086"
"532",4599649,NA,"NLA06608-0113"
"533",4599575,NA,"NLA06608-0294"
"534",4753962,NA,"NLA06608-0765"
"535",8968334,NA,"NLA06608-0533"
"536",15444631,NA,"NLA06608-0753"
"537",4752516,NA,"NLA06608-R34"
"538",4752508,NA,"NLA06608-1789"
"539",167484348,NA,"NLA06608-0509"
"540",3715298,NA,"NLA06608-0957"
"541",3806779,NA,"NLA06608-0066"
"542",3806795,NA,"NLA06608-2114"
"543",3809265,NA,"NLA06608-1346"
"544",13155459,NA,"NLA06608-0111"
"545",19453325,NA,"NLA06608-0445"
"546",15429940,NA,"NLA06608-0031"
"547",19451411,NA,"NLA06608-0189"
"548",76669453,NA,"NLA06608-0681"
"549",15372044,NA,"NLA06608-1055"
"550",19387454,NA,"NLA06608-0863"
"551",120053858,NA,"NLA06608-0893"
"552",6920054,NA,"NLA06608-0537"
"553",4547794,NA,"NLA06608-0041"
"554",6883552,NA,"NLA06608-R328"
"555",6919138,NA,"NLA06608-R336"
"556",6920078,NA,"NLA06608-0793"
"557",6920070,NA,"NLA06608-1561"
"558",5212227,NA,"NLA06608-1375"
"559",5213695,NA,"NLA06608-1103"
"560",5213795,NA,"NLA06608-OH:22"
"561",5217319,NA,"NLA06608-0479"
"562",1086591,NA,"NLA06608-0580"
"563",3881478,NA,"NLA06608-OH:19"
"564",3881496,NA,"NLA06608-0175"
"565",3921415,NA,"NLA06608-1199"
"566",3980812,NA,"NLA06608-1359"
"567",3982320,NA,"NLA06608-0783"
"568",166899198,NA,"NLA06608-0271"
"569",3406569,NA,"NLA06608-2644"
"570",1918274,NA,"NLA06608-1007"
"571",1935812,NA,"NLA06608-0447"
"572",3406403,NA,"NLA06608-1492"
"573",2087743,NA,"NLA06608-1775"
"574",1823118,NA,"NLA06608-1263"
"575",11898352,NA,"NLA06608-1332"
"576",18487192,NA,"NLA06608-3147"
"577",10421468,NA,"NLA06608-0900"
"578",18470028,NA,"NLA06608-1556"
"579",18486140,NA,"NLA06608-0139"
"580",18464098,NA,"NLA06608-1684"
"581",18461526,NA,"NLA06608-0148"
"582",18474509,NA,"NLA06608-0971"
"583",120052700,NA,"NLA06608-0847"
"584",18454351,NA,"NLA06608-0724"
"585",18476251,NA,"NLA06608-2708"
"586",10284202,NA,"NLA06608-0020"
"587",10432760,NA,"NLA06608-0196"
"588",18469396,NA,"NLA06608-2196"
"589",18469408,NA,"NLA06608-1172"
"590",18476067,NA,"NLA06608-0660"
"591",18498078,NA,"NLA06608-1499"
"592",18485954,NA,"NLA06608-0235"
"593",18486002,NA,"NLA06608-2283"
"594",18486012,NA,"NLA06608-2779"
"595",18489388,NA,"NLA06608-1163"
"596",10431538,NA,"NLA06608-1108"
"597",18487094,NA,"NLA06608-1355"
"598",18486076,NA,"NLA06608-2891"
"599",18486084,NA,"NLA06608-1755"
"600",18475057,NA,"NLA06608-2507"
"601",18486266,NA,"NLA06608-1867"
"602",20097195,NA,"NLA06608-1227"
"603",166899251,NA,"NLA06608-0212"
"604",10187680,NA,"NLA06608-0388"
"605",18422167,NA,"NLA06608-0255"
"606",11882216,NA,"NLA06608-1652"
"607",11879064,NA,"NLA06608-1316"
"608",18392188,NA,"NLA06608-1396"
"609",18420867,NA,"NLA06608-0820"
"610",10107773,NA,"NLA06608-2916"
"611",10561628,NA,"NLA06608-1572"
"612",10157221,NA,"NLA06608-0868"
"613",10561818,NA,"NLA06608-0804"
"614",11867496,NA,"NLA06608-0980"
"615",10144919,NA,"NLA06608-1060"
"616",11867374,NA,"NLA06608-0036"
"617",10106661,NA,"NLA06608-1908"
"618",22886851,NA,"NLA06608-0257"
"619",22886879,NA,"NLA06608-0065"
"620",24341810,NA,"NLA06608-1857"
"621",22926950,NA,"NLA06608-1953"
"622",22961759,NA,"NLA06608-1153"
"623",22992411,NA,"NLA06608-3329"
"624",24342310,NA,"NLA06608-1089"
"625",24347521,NA,"NLA06608-2177"
"626",22983714,NA,"NLA06608-1281"
"627",24381383,NA,"NLA06608-0769"
"628",22999291,NA,"NLA06608-1217"
"629",23016854,NA,"NLA06608-1473"
"630",23016890,NA,"NLA06608-1985"
"631",23024842,NA,"NLA06608-2753"
"632",23029432,NA,"NLA06608-2241"
"633",23029488,NA,"NLA06608-3265"
"634",24118211,NA,"NLA06608-2305"
"635",24315721,NA,"NLA06608-0929"
"636",24341846,NA,"NLA06608-0129"
"637",24347665,NA,"NLA06608-2881"
"638",24381275,NA,"NLA06608-1793"
"639",24381305,NA,"NLA06608-0961"
"640",24118263,NA,"NLA06608-1537"
"641",24118303,NA,"NLA06608-2497"
"642",120027741,NA,"NLA06608-2049"
"643",23050457,NA,"NLA06608-0641"
"644",23050593,NA,"NLA06608-0449"
"645",23078085,NA,"NLA06608-2833"
"646",24411181,NA,"NLA06608-0529"
"647",23077759,NA,"NLA06608-R10RAINYL"
"648",23093997,NA,"NLA06608-1041"
"649",24420076,NA,"NLA06608-1297"
"650",24412067,NA,"NLA06608-0785"
"651",24136807,NA,"NLA06608-1057"
"652",24136857,NA,"NLA06608-0033"
